a,b,c
-1.58E-03,8.23E-04,6.79E-03
-1.58E-03,8.25E-04,6.79E-03
-1.57E-03,8.31E-04,6.80E-03
-1.56E-03,8.38E-04,6.81E-03
-1.56E-03,8.42E-04,6.81E-03
-1.55E-03,8.44E-04,6.81E-03
-1.56E-03,8.39E-04,6.81E-03
-1.57E-03,8.34E-04,6.80E-03
-1.57E-03,8.32E-04,6.80E-03
-1.57E-03,8.33E-04,6.79E-03
-1.56E-03,8.37E-04,6.80E-03
-1.55E-03,8.45E-04,6.80E-03
-1.53E-03,8.54E-04,6.82E-03
-1.52E-03,8.58E-04,6.83E-03
-1.54E-03,8.52E-04,6.82E-03
-1.56E-03,8.46E-04,6.80E-03
-1.57E-03,8.34E-04,6.79E-03
-1.58E-03,8.22E-04,6.78E-03
-1.58E-03,8.21E-04,6.78E-03
-1.58E-03,8.27E-04,6.78E-03
-1.57E-03,8.34E-04,6.79E-03
-1.57E-03,8.41E-04,6.80E-03
-1.56E-03,8.44E-04,6.81E-03
-1.56E-03,8.41E-04,6.80E-03
-1.57E-03,8.34E-04,6.80E-03
-1.57E-03,8.29E-04,6.79E-03
-1.57E-03,8.29E-04,6.78E-03
-1.56E-03,8.33E-04,6.80E-03
-1.55E-03,8.43E-04,6.80E-03
-1.55E-03,8.52E-04,6.80E-03
-1.55E-03,8.51E-04,6.80E-03
-1.55E-03,8.43E-04,6.81E-03
-1.57E-03,8.26E-04,6.80E-03
-1.59E-03,8.15E-04,6.79E-03
-1.60E-03,8.15E-04,6.78E-03
-1.59E-03,8.16E-04,6.78E-03
-1.59E-03,8.19E-04,6.78E-03
-1.59E-03,8.24E-04,6.79E-03
-1.58E-03,8.31E-04,6.80E-03
-1.57E-03,8.34E-04,6.81E-03
-1.57E-03,8.31E-04,6.82E-03
-1.57E-03,8.28E-04,6.81E-03
-1.58E-03,8.22E-04,6.78E-03
-1.59E-03,8.17E-04,6.78E-03
-1.58E-03,8.22E-04,6.78E-03
-1.58E-03,8.29E-04,6.78E-03
-1.57E-03,8.36E-04,6.80E-03
-1.55E-03,8.45E-04,6.80E-03
-1.54E-03,8.49E-04,6.80E-03
-1.54E-03,8.41E-04,6.80E-03
-1.56E-03,8.26E-04,6.79E-03
-1.58E-03,8.12E-04,6.78E-03
-1.59E-03,8.08E-04,6.79E-03
-1.59E-03,8.12E-04,6.80E-03
-1.59E-03,8.19E-04,6.80E-03
-1.58E-03,8.29E-04,6.81E-03
-1.57E-03,8.33E-04,6.82E-03
-1.57E-03,8.29E-04,6.81E-03
-1.58E-03,8.24E-04,6.79E-03
-1.59E-03,8.19E-04,6.78E-03
-1.59E-03,8.18E-04,6.78E-03
-1.58E-03,8.20E-04,6.78E-03
-1.58E-03,8.24E-04,6.79E-03
-1.58E-03,8.28E-04,6.80E-03
-1.57E-03,8.33E-04,6.81E-03
-1.57E-03,8.33E-04,6.81E-03
-1.57E-03,8.29E-04,6.81E-03
-1.58E-03,8.24E-04,6.80E-03
-1.58E-03,8.20E-04,6.80E-03
-1.59E-03,8.16E-04,6.79E-03
-1.59E-03,8.19E-04,6.79E-03
-1.58E-03,8.28E-04,6.80E-03
-1.57E-03,8.36E-04,6.81E-03
-1.56E-03,8.41E-04,6.82E-03
-1.56E-03,8.35E-04,6.81E-03
-1.57E-03,8.26E-04,6.79E-03
-1.58E-03,8.20E-04,6.79E-03
-1.59E-03,8.17E-04,6.79E-03
-1.58E-03,8.26E-04,6.78E-03
-1.56E-03,8.41E-04,6.79E-03
-1.54E-03,8.47E-04,6.82E-03
-1.54E-03,8.46E-04,6.83E-03
-1.56E-03,8.37E-04,6.82E-03
